now,messages,Hex_Code,Aircraft_Type,Flight_Number,Registration,t,Barometric_Altitude,Geometric_Altitude,Ground_Speed,track,geom_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,nav_heading,nav_modes,Latitude,Longitude,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,alert,spi,mlat,tisb,messages,seen,rssi,baro_rate,true_heading,dbFlags,nav_altitude_fms,calc_track,mag_heading,ias,tas,mach,wd,ws,oat,tat,track_rate,roll,gpsOkBefore,gpsOkLat,gpsOkLon,rr_lat,rr_lon,lastPosition.lat,lastPosition.lon,lastPosition.nic,lastPosition.rc,lastPosition.seen_pos
1704067199.122,148041829,abfba5,tisb_icao,N871SH  ,N871SH,AS50,2000,2350.0,111.3,324.88,,,,A7,,,,,22.045029,-159.630599,0.0,0.0,20.336,2.0,,0.0,0.0,0.0,perhour,,,0.0,0.0,[],"['callsign', 'altitude', 'alt_geom', 'gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",5753236,20.3,-20.9,-128.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,ab385d,adsr_icao,N822AV  ,N822AV,,4000,4550.0,96.0,271.19,0.0,,,A1,,,,,22.036514,-159.619562,0.0,926.0,0.906,,0.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],1005170,0.9,-20.5,,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a11a76,tisb_icao,,N170PD,R66,2850,3050.0,89.8,348.44,,,,A7,,,,,22.060593,-159.613969,0.0,0.0,0.467,0.0,,0.0,0.0,0.0,perhour,,,0.0,0.0,[],"['altitude', 'alt_geom', 'gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",4134907,0.5,-20.5,64.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a9934c,tisb_icao,N716KV  ,N716KV,H500,2950,3325.0,30.6,78.69,,,,A7,,,,,22.072174,-159.608826,0.0,0.0,11.813,,,0.0,0.0,0.0,perhour,,,0.0,0.0,[],"['callsign', 'altitude', 'alt_geom', 'gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",1083572,11.8,-21.1,448.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a980b9,tisb_icao,N711KV  ,N711KV,H500,2200,2475.0,100.7,304.48,,,,A7,,,,,22.034546,-159.608476,0.0,0.0,4.389,,,0.0,0.0,0.0,perhour,,,0.0,0.0,[],"['callsign', 'altitude', 'alt_geom', 'gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",5366955,4.4,-21.3,1152.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a0a4b5,tisb_icao,N140WS  ,N140WS,EC30,3100,3225.0,119.6,302.36,,,,A7,,,,,22.017105,-159.577215,0.0,0.0,0.467,,,0.0,0.0,0.0,perhour,,,0.0,0.0,[],"['callsign', 'altitude', 'alt_geom', 'gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",8765923,0.5,-21.7,-768.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a36493,adsb_icao,SVX43   ,N318AK,C441,27000,25300.0,309.1,96.69,192.0,2322,none,A1,,,,,62.485858,-159.555183,9.0,75.0,1.213,2.0,0.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],3378054,0.1,-27.0,,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,780a96,adsb_icao,CPA837  ,B-KQX,B77W,34000,32150.0,436.4,272.36,,4545,none,A5,1012.8,34016.0,,,57.99028,-159.529281,8.0,186.0,2.306,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],7901583,0.1,-24.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a98094,tisb_icao,N711JH  ,N711JH,AS50,1400,1625.0,99.3,175.38,,,,A7,,,,,22.189911,-159.526578,0.0,0.0,0.467,,,0.0,0.0,0.0,perhour,,,0.0,0.0,[],"['callsign', 'altitude', 'alt_geom', 'gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",2358289,0.5,-20.6,64.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a0ce1c,tisb_icao,N151CD  ,N151CD,R44,2200,2475.0,99.5,300.17,,,,A7,,,,,21.972336,-159.52478,0.0,0.0,7.666,2.0,,0.0,0.0,0.0,perhour,,,0.0,0.0,[],"['callsign', 'altitude', 'alt_geom', 'gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",4423449,7.7,-21.3,-384.0,,,,,,,,,,,,,,,,,,,,,,,,
